"C:\Users\enric\OneDrive\Área de Trabalho\Python\venv\Scripts\python.exe" "C:/Users/enric/OneDrive/Área de Trabalho/Python/Wordle.py"
koala 4
krill 4
label 3
labor 3
laden 3
ladle 4
lager 3
lance 3
lanky 3
lapel 4
lapse 2
large 3
larva 4
lasso 3
latch 3
later 2
lathe 2
latte 3
laugh 4
layer 3
leach 4
leafy 3
leaky 4
leant 3
leapt 3
learn 3
lease 3
leash 3
least 2
leave 3
ledge 3
leech 4
leery 4
lefty 4
legal 3
leggy 4
lemon 4
lemur 3
leper 4
level 4
lever 4
libel 3
liege 3
light 3
liken 3
lilac 4
limbo 4
limit 3
linen 4
liner 4
lingo 4
lipid 3
lithe 3
liver 4
livid 4
llama 4
loamy 3
loath 3
lobby 4
local 4
locus 3
lodge 4
lofty 3
logic 3
login 4
loopy 4
loose 4
lorry 3
loser 2
louse 3
lousy 3
lover 3
lower 4
lowly 4
loyal 4
lucid 3
lucky 3
lumen 4
lumpy 3
lunar 3
lunch 4
lunge 3
lupus 3
lurch 3
lurid 3
lusty 2
lying 4
lymph 4
lynch 4
lyric 3
macaw 3
macho 4
macro 3
madam 4
madly 4
mafia 4
magic 4
magma 4
maize 3
major 4
maker 3
mambo 3
mamma 4
mammy 5
manga 3
mange 4
mango 4
mangy 5
mania 4
manic 3
manly 4
manor 3
maple 3
march 3
marry 4
marsh 3
mason 3
masse 3
match 4
matey 3
mauve 3
maxim 4
maybe 3
mayor 3
mealy 4
meant 3
meaty 4
mecca 3
medal 4
media 4
medic 4
melee 3
melon 3
mercy 4
merge 4
merit 3
merry 4
metal 3
meter 3
metro 3
micro 4
midge 4
midst 3
might 4
milky 4
mimic 3
mince 4
miner 4
minim 4
minor 4
minty 5
minus 3
mirth 4
miser 3
missy 3
mocha 4
modal 4
model 4
modem 3
mogul 3
moist 3
molar 3
moldy 3
money 4
month 4
moody 5
moose 4
moral 3
moron 3
morph 4
mossy 3
motel 3
motif 4
motor 3
motto 4
moult 3
mound 4
mount 4
mourn 3
mouse 4
mouth 3
mover 5
movie 4
mower 5
mucky 3
mucus 3
muddy 4
mulch 4
mummy 5
munch 4
mural 3
murky 4
mushy 3
music 4
musky 4
musty 3
myrrh 3
nadir 3
naive 3
nanny 4
nasal 3
nasty 3
natal 3
naval 4
navel 3
needy 3
neigh 4
nerdy 3
nerve 4
never 3
newer 4
newly 4
nicer 3
niche 4
niece 4
night 3
ninja 4
ninny 4
ninth 4
noble 3
nobly 4
noise 3
noisy 4
nomad 4
noose 4
north 4
nosey 3
notch 4
novel 4
nudge 3
nurse 3
nutty 3
nylon 3
nymph 4
oaken 3
obese 4
occur 3
ocean 4
octal 3
octet 3
odder 3
oddly 3
offal 4
offer 5
often 3
olden 3
older 4
olive 4
ombre 4
omega 4
onion 4
onset 3
opera 4
opine 3
opium 4
optic 3
orbit 3
order 4
organ 3
other 3
otter 3
ought 3
ounce 3
outdo 3
outer 3
outgo 4
ovary 3
ovate 4
overt 3
ovine 4
ovoid 4
owing 3
owner 4
oxide 3
ozone 3
paddy 4
pagan 4
paint 4
paler 3
palsy 2
panel 3
panic 4
pansy 3
papal 4
paper 5
parer 3
parka 4
parry 4
parse 3
party 3
pasta 3
paste 4
pasty 4
patch 4
patio 3
patsy 3
patty 4
pause 3
payee 3
payer 3
peace 4
peach 4
pearl 4
pecan 4
pedal 3
penal 4
pence 4
penne 3
penny 4
perch 4
peril 4
perky 5
pesky 3
pesto 3
petal 3
petty 4
phase 4
phone 4
phony 4
photo 3
piano 3
picky 4
piece 4
piety 3
piggy 4
pilot 2
pinch 4
piney 4
pinky 4
pinto 4
piper 4
pique 4
pitch 4
pithy 4
pivot 4
pixel 4
pixie 4
pizza 4
place 4
plaid 4
plain 4
plait 3
plane 5
plank 4
plant 3
plate 3
plaza 4
plead 4
pleat 3
plied 4
plier 4
pluck 3
plumb 4
plume 4
plump 5
plunk 4
plush 3
poesy 4
point 4
poise 3
poker 5
polar 4
polka 4
polyp 3
pooch 3
poppy 5
porch 3
poser 3
posit 3
posse 4
pouch 3
pound 4
pouty 3
power 5
prank 4
prawn 4
preen 4
press 3
price 4
prick 4
pride 3
pried 4
prime 4
primo 4
print 3
prior 4
prism 3
privy 4
prize 4
probe 3
prone 4
prong 4
proof 4
prose 3
proud 4
prove 4
prowl 4
proxy 4
prude 4
prune 4
psalm 3
pubic 4
pudgy 4
puffy 4
pulpy 4
pulse 2
punch 4
pupal 4
pupil 4
puppy 5
puree 3
purer 4
purge 4
purse 3
pushy 4
putty 4
pygmy 4
quack 4
quail 4
quake 4
qualm 4
quark 4
quart 3
quash 4
quasi 4
queen 4
queer 4
quell 3
query 4
quest 3
queue 4
quick 4
quiet 4
quill 4
quilt 4
quirk 4
quite 3
quota 3
quote 4
quoth 3
rabbi 4
rabid 3
racer 4
radar 4
radii 4
radio 4
rainy 3
raise 3
rajah 4
rally 2
ralph 3
ramen 4
ranch 3
randy 3
range 3
rapid 4
rarer 4
raspy 3
ratio 3
ratty 3
raven 4
rayon 3
razor 4
reach 3
react 3
ready 3
realm 3
rearm 4
rebar 3
rebel 3
rebus 3
rebut 4
recap 3
recur 4
recut 3
reedy 3
refer 4
refit 3
regal 3
rehab 4
reign 3
relax 3
relay 3
relic 3
remit 4
renal 4
renew 4
repay 4
repel 3
reply 4
rerun 4
reset 3
resin 3
retch 4
retro 4
retry 4
reuse 4
revel 4
revue 4
rhino 4
rhyme 4
rider 5
ridge 3
rifle 4
right 3
rigid 4
rigor 4
rinse 4
ripen 3
riper 4
risen 3
riser 3
risky 4
rival 4
river 5
rivet 3
roach 4
roast 3
robin 4
robot 4
rocky 3
rodeo 3
roger 5
rogue 4
roomy 4
roost 3
rotor 3
rouge 4
rough 4
round 3
rouse 3
route 4
rover 4
rowdy 4
rower 5
royal 3
ruddy 4
ruder 3
rugby 4
ruler 3
rumba 4
rumor 4
rupee 4
rural 4
rusty 3
sadly 2
safer 2
saint 2
salad 3
sally 3
salon 3
salsa 4
salty 2
salve 2
salvo 3
sandy 3
saner 3
sappy 3
sassy 3
satin 2
satyr 3
sauce 2
saucy 3
sauna 3
saute 2
savor 3
savoy 3
savvy 4
scald 3
scale 2
scalp 3
scaly 4
scamp 3
scant 3
scare 3
scarf 3
scary 4
scene 3
scent 2
scion 3
scoff 3
scold 3
scone 3
scoop 3
scope 3
score 4
scorn 4
scour 3
scout 3
scowl 4
scram 3
scrap 3
scree 3
screw 3
scrub 3
scrum 4
scuba 3
sedan 3
seedy 3
segue 4
seize 3
semen 3
sense 4
sepia 3
serif 3
serum 3
serve 4
setup 3
seven 4
sever 3
sewer 3
shack 3
shade 4
shady 3
shaft 3
shake 4
shaky 4
shale 3
shall 3
shalt 2
shame 3
shank 4
shape 3
shard 3
share 3
shark 4
sharp 3
shave 4
shawl 3
shear 3
sheen 3
sheep 4
sheer 3
sheet 2
sheik 4
shelf 3
shell 4
shied 3
shift 3
shine 3
shiny 4
shire 3
shirk 3
shirt 3
shoal 4
shock 3
shone 4
shook 4
shoot 4
shore 4
shorn 4
short 4
shout 3
shove 3
shown 3
showy 4
shrew 3
shrub 4
shrug 4
shuck 3
shunt 3
shush 3
shyly 3
siege 3
sieve 4
sight 3
sigma 3
silky 2
silly 3
since 3
sinew 3
singe 4
siren 3
sissy 4
sixth 3
sixty 4
skate 3
skier 4
skiff 3
skill 3
skimp 3
skirt 3
skulk 3
skull 3
skunk 3
slack 3
slain 3
slang 3
slant 3
slash 3
slate 2
slave 3
sleek 2
